ia1,ia2,winner,moves
ia_lmaret.pl,ia_manchot.pl,ia_manchot.pl,10
ia_lmaret.pl,ia_nadeau.pl,ia_lmaret.pl,19
ia_lmaret.pl,ia_random.pl,ia_lmaret.pl,7
ia_lmaret.pl,ia_yann.pl,ia_lmaret.pl,7
ia_manchot.pl,ia_lmaret.pl,ia_manchot.pl,7
ia_manchot.pl,ia_nadeau.pl,ia_manchot.pl,7
ia_manchot.pl,ia_random.pl,ia_manchot.pl,23
ia_manchot.pl,ia_yann.pl,ia_manchot.pl,7
ia_nadeau.pl,ia_lmaret.pl,ia_nadeau.pl,19
ia_nadeau.pl,ia_manchot.pl,ia_manchot.pl,10
ia_nadeau.pl,ia_random.pl,ia_nadeau.pl,7
ia_nadeau.pl,ia_yann.pl,ia_nadeau.pl,7
ia_random.pl,ia_lmaret.pl,ia_lmaret.pl,8
ia_random.pl,ia_manchot.pl,ia_manchot.pl,8
ia_random.pl,ia_nadeau.pl,ia_nadeau.pl,10
ia_random.pl,ia_yann.pl,ia_yann.pl,20
ia_yann.pl,ia_lmaret.pl,ia_yann.pl,11
ia_yann.pl,ia_manchot.pl,ia_yann.pl,7
ia_yann.pl,ia_nadeau.pl,ia_yann.pl,11
ia_yann.pl,ia_random.pl,ia_yann.pl,15
